match_id,startTime,equipo_local,equipo_visitante,ranking_local,ranking_visitante,goles_local,goles_visitante,Local_Top_Stats_Posesión,Visitante_Top_Stats_Posesión,Local_Top_Stats_Goles esperados,Visitante_Top_Stats_Goles esperados,Local_Top_Stats_Total Remates,Visitante_Top_Stats_Total Remates,Local_Top_Stats_Remates a puerta,Visitante_Top_Stats_Remates a puerta,Local_Top_Stats_Grandes chances,Visitante_Top_Stats_Grandes chances,Local_Top_Stats_Fueras de Juego,Visitante_Top_Stats_Fueras de Juego,Local_Top_Stats_Pases completados,Visitante_Top_Stats_Pases completados,Local_Top_Stats_Tarjeta roja,Visitante_Top_Stats_Tarjeta roja,Local_Remates_Goles esperados,Visitante_Remates_Goles esperados,Local_Remates_Total Remates,Visitante_Remates_Total Remates,Local_Remates_Remates a Puerta,Visitante_Remates_Remates a Puerta,Local_Remates_Remates Fuera,Visitante_Remates_Remates Fuera,Local_Remates_Remates bloqueados,Visitante_Remates_Remates bloqueados,Local_Remates_Pelotas al poste,Visitante_Remates_Pelotas al poste,Local_Remates_Goles esperados de remates al arco,Visitante_Remates_Goles esperados de remates al arco,Local_Remates_Remates dentro del área,Visitante_Remates_Remates dentro del área,Local_Remates_Remates fuera del área,Visitante_Remates_Remates fuera del área,Local_Remates_Remates de cabeza,Visitante_Remates_Remates de cabeza,Local_Remates_Grandes chances perdidas,Visitante_Remates_Grandes chances perdidas,Local_Pases_Pases completados,Visitante_Pases_Pases completados,Local_Pases_Asistencias esperadas,Visitante_Pases_Asistencias esperadas,Local_Pases_Centros,Visitante_Pases_Centros,Local_Pases_Pases largos completados,Visitante_Pases_Pases largos completados,Local_Pases_Pases claves,Visitante_Pases_Pases claves,Local_Pases_Pases en el último tercio,Visitante_Pases_Pases en el último tercio,Local_Pases_Pases hacia atrás,Visitante_Pases_Pases hacia atrás,Local_Defensivas_Intercepciones,Visitante_Defensivas_Intercepciones,Local_Defensivas_Salvadas de portero,Visitante_Defensivas_Salvadas de portero,Local_Defensivas_Barridas ganadas,Visitante_Defensivas_Barridas ganadas,Local_Defensivas_Despejes,Visitante_Defensivas_Despejes,Local_Duelos_Duelos ganados,Visitante_Duelos_Duelos ganados,Local_Duelos_Duelos aéreos (ganados),Visitante_Duelos_Duelos aéreos (ganados),Local_Duelos_Duelos en el suelo (ganados),Visitante_Duelos_Duelos en el suelo (ganados),Local_Duelos_Faltas recibidas,Visitante_Duelos_Faltas recibidas,Local_Duelos_Regates,Visitante_Duelos_Regates,Local_Duelos_Regateado,Visitante_Duelos_Regateado,Local_Duelos_Posesiones ganadas en el último tercio,Visitante_Duelos_Posesiones ganadas en el último tercio,Local_Duelos_Posesiones perdidas,Visitante_Duelos_Posesiones perdidas,Local_Disciplinarias_Tarjeta roja,Visitante_Disciplinarias_Tarjeta roja,Local_Disciplinarias_Faltas,Visitante_Disciplinarias_Faltas,Local_Disciplinarias_Tarjeta amarilla,Visitante_Disciplinarias_Tarjeta amarilla
4314061,2025-06-07T13:45:00-05:00,Austria,Rumania,23,53,2,1,60,40,"1,15","0,66",14,10,9,3,0,0,1,2,444,265,0,0,"1,15","0,66",14,10,9,3,3,3,2,4,0,0,"2,5","0,41000000000000003",10,8,4,2,2,4,0,0,444,265,"1,34","0,43",4,5,27,20,10,7,68,29,73,48,8,7,2,7,20,14,16,39,20,22,7,9,13,13,10,11,7,10,10,7,5,1,132,130,0,0,11,10,1,1
4402283,2025-06-07T13:45:00-05:00,Finlandia,Países Bajos,75,8,0,2,40,60,"0,2","2,06",5,17,2,6,0,3,0,2,392,625,0,0,"0,2","2,06",5,17,2,6,1,8,2,3,0,0,"0,07","2,25",4,12,1,5,0,3,0,2,392,625,"0,22","1,54",0,4,19,10,5,14,30,64,78,129,2,8,4,2,6,6,23,13,1,3,1,1,0,2,9,9,3,4,4,3,4,4,92,86,0,0,9,9,1,2
4395001,2025-06-07T14:30:00-05:00,Estados Unidos,Turquía,17,22,1,2,59,41,"1,18","1,42",13,11,3,5,1,2,0,1,561,372,0,0,"1,18","1,42",13,11,3,5,6,4,4,2,0,0,"0,64","2,79",5,9,8,2,2,1,1,2,561,372,"1,6800000000000002","0,9100000000000001",4,1,29,13,13,9,49,38,112,65,9,12,3,2,9,16,18,15,13,29,9,11,4,18,8,14,2,9,9,2,10,7,116,106,0,0,14,8,1,1
4400642,2025-06-07T14:35:00-05:00,Canadá,Ucrania,30,32,4,2,37,63,"2,47","2,21",12,13,6,8,4,2,4,4,269,504,0,0,"2,47","2,21",12,13,6,8,5,2,2,3,1,0,"2,5500000000000003","3,3999999999999995",11,9,1,5,3,2,3,2,269,504,"1,4","1,03",3,4,14,23,8,9,39,56,56,89,12,10,6,1,11,10,17,8,8,7,2,2,6,5,10,14,9,4,4,9,5,3,105,118,0,0,16,11,1,0
4048042,2025-06-07T16:00:00-05:00,Aruba,Haití,189,83,0,5,28,72,0,0,7,24,3,10,1,1,2,2,170,519,0,0,0,0,7,24,3,10,4,10,0,4,0,1,0,0,0,0,0,0,0,0,2,1,170,519,0,0,1,7,20,31,2,15,30,68,29,103,11,12,4,3,11,9,15,1,3,4,1,1,2,3,12,14,1,5,5,1,3,8,96,96,0,0,15,13,1,0
4400641,2025-06-07T18:15:00-05:00,Costa de Marfil,Nueva Zelanda,33,85,0,1,72,28,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4048043,2025-06-07T20:00:00-05:00,Belice,Panamá,180,34,0,2,28,72,0,0,5,17,0,5,0,2,0,0,111,437,0,0,0,0,5,17,0,5,2,8,3,4,0,0,0,0,0,0,0,0,0,0,0,1,111,437,0,0,2,10,17,26,1,16,32,60,30,70,7,13,3,0,11,6,24,13,3,12,2,7,1,5,12,7,2,2,2,2,2,7,115,112,0,0,7,15,2,3
4444715,2025-06-08T08:00:00-05:00,Alemania,Francia,10,3,0,2,56,44,"2,55","2,33",20,15,6,8,4,1,4,1,436,332,0,0,"2,55","2,33",20,15,6,8,7,5,7,2,1,1,"1,58","3,21",15,12,5,3,1,1,4,0,436,332,"2,11","0,9900000000000001",3,2,18,32,13,15,45,41,72,70,11,7,6,6,10,11,12,25,5,11,3,6,2,5,7,9,5,8,8,5,6,1,102,100,0,0,11,7,3,2
4422385,2025-06-08T11:00:00-05:00,Georgia,Cabo Verde,72,67,1,1,41,59,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4444714,2025-06-08T14:00:00-05:00,Portugal,España,5,2,2,2,39,61,"1,02","2,06",7,16,2,6,1,2,4,3,441,755,0,0,"1,02","2,06",7,16,2,6,4,8,1,2,0,0,"0,67","1,5",10,12,2,8,1,1,1,1,441,755,"0,8300000000000001","1,47",2,1,16,17,5,12,46,69,79,186,8,13,4,0,8,13,23,18,12,11,5,6,7,5,19,14,7,6,6,8,1,5,118,105,0,0,14,19,3,4
